Time [s],Value,Parity Error,Framing Error
-11.540521999999999,0xFF,,
-11.539365699999999,0xFF,,
-11.538210100000001,0x01,,
-11.537054100000001,0x04,,
-11.535898000000000,0x8A,,
-11.534741600000000,0x00,,
-11.533582700000000,0x04,,
-11.532423900000000,0x6C,,
-11.531128700000000,0xFF,,
-11.529982400000000,0xFF,,
-11.528837400000000,0x01,,
-11.527692500000001,0x06,,
-11.526547500000000,0x00,,
-11.525402000000000,0x03,,
-11.524256800000000,0x21,,
-11.523111399999999,0x01,,
-11.521966000000001,0x08,,
-11.520821099999999,0xCB,,
-11.514802700000001,0x00,,Error
-11.233527199999999,0xFF,,
-11.232370700000001,0xFF,,
-11.231214899999999,0x01,,
-11.230059499999999,0x04,,
-11.228903400000000,0x8A,,
-11.227746900000000,0x00,,
-11.226588100000001,0x04,,
-11.225429600000000,0x6C,,
-11.224134200000000,0xFF,,
-11.222987900000000,0xFF,,
-11.221842400000000,0x01,,
-11.220697599999999,0x06,,
-11.219552100000000,0x00,,
-11.218406600000000,0x03,,
-11.217261000000001,0x21,,
-11.216115600000000,0x01,,
-11.214970200000000,0x08,,
-11.213825200000000,0xCB,,
-11.207806900000000,0x00,,Error
-10.908524000000000,0xFF,,
-10.907368800000000,0xFF,,
-10.906213200000000,0x01,,
-10.905057100000001,0x04,,
-10.903900500000001,0x8A,,
-10.902744300000000,0x00,,
-10.901585499999999,0x04,,
-10.900426000000000,0x6C,,
-10.899131900000000,0xFF,,
-10.897985500000001,0xFF,,
-10.896840600000001,0x01,,
-10.895695099999999,0x06,,
-10.894550199999999,0x00,,
-10.893404000000000,0x03,,
-10.892258999999999,0x21,,
-10.891113400000000,0x01,,
-10.889968000000000,0x08,,
-10.888823100000000,0xCB,,
-10.882804900000000,0x00,,Error
-10.530527800000000,0xFF,,
-10.529371899999999,0xFF,,
-10.528216199999999,0x01,,
-10.527060700000000,0x04,,
-10.525904600000000,0x8A,,
-10.524748799999999,0x00,,
-10.523590799999999,0x04,,
-10.522432100000000,0x6C,,
-10.521134800000000,0xFF,,
-10.519988400000001,0xFF,,
-10.518843600000000,0x01,,
-10.517698599999999,0x06,,
-10.516553699999999,0x00,,
-10.515408100000000,0x03,,
-10.514263000000000,0x21,,
-10.513117599999999,0x01,,
-10.511972000000000,0x08,,
-10.510827000000001,0xCB,,
-10.504807599999999,0x00,,Error
-10.166534199999999,0xFF,,
-10.165378700000000,0xFF,,
-10.164223500000000,0x01,,
-10.163067500000000,0x04,,
-10.161910799999999,0x8A,,
-10.160754499999999,0x00,,
-10.159595899999999,0x04,,
-10.158436399999999,0x6C,,
-10.157141899999999,0xFF,,
-10.155995500000000,0xFF,,
-10.154850600000000,0x01,,
-10.153705499999999,0x06,,
-10.152560599999999,0x00,,
-10.151414900000001,0x03,,
-10.150269800000000,0x21,,
-10.149124400000000,0x01,,
-10.147978800000001,0x08,,
-10.146833800000000,0xCB,,
-10.140813400000001,0x00,,Error
-9.832535999999999,0xFF,,
-9.831380200000000,0xFF,,
-9.830224100000001,0x01,,
-9.829068500000000,0x04,,
-9.827912299999999,0x8A,,
-9.826756000000000,0x00,,
-9.825597800000001,0x04,,
-9.824439600000000,0x6C,,
-9.823142199999999,0xFF,,
-9.821995800000000,0xFF,,
-9.820850200000001,0x01,,
