Time [s],Channel 0
0.000000000,0
5.692909000,1
5.712917100,0
5.712926100,1
5.712934800,0
5.712993100,1
5.713013200,0
5.713030700,1
5.713039400,0
5.713089300,1
5.713109400,0
5.713118400,1
5.713135700,0
5.713185600,1
5.713205700,0
5.713231600,1
5.713240300,0
5.713281800,1
5.713435400,0
5.713452500,1
5.713469800,0
5.713478300,1
5.713487000,0
5.713495500,1
5.713504200,0
5.713512700,1
5.713529900,0
5.713572800,1
5.713590100,0
5.713607200,1
5.713624500,0
5.713641600,1
5.713667500,0
5.713676000,1
5.713684700,0
5.713701800,1
5.713719100,0
5.713727600,1
5.713744800,0
5.713761900,1
5.713779200,0
5.713796300,1
5.713813600,0
5.713847900,1
5.713856600,0
5.713890900,1
5.713908200,0
5.713916700,1
5.713925400,0
5.713985400,1
5.743904300,0
5.743930100,1
5.743947400,0
5.743964100,1
5.744001000,0
5.744010000,1
5.744018700,0
5.744035500,1
5.744044200,0
5.744069300,1
5.744097500,0
5.744106600,1
5.744115300,0
5.744132000,1
5.744140700,0
5.744157400,1
5.744194300,0
5.744203400,1
5.744229200,0
5.744237500,1
5.744246200,0
5.744254500,1
5.744291400,0
5.744300400,1
5.744326300,0
5.744334600,1
5.744343300,0
5.744351600,1
5.744388400,0
5.744414300,1
5.744431500,0
5.744448300,1
5.744456900,0
5.744464900,1
5.744484900,0
5.744519200,1
5.744536500,0
5.744553200,1
5.744581400,0
5.744590500,1
5.744599200,0
5.744641200,1
5.744678000,0
5.744687000,1
5.744695700,0
5.744720900,1
5.744738100,0
5.744746400,1
5.744774700,0
5.744800600,1
5.744809300,0
5.744817500,1
5.744871500,0
5.744889000,1
5.744897700,0
5.744906000,1
5.744940500,0
5.744948300,1
5.744968400,0
5.744985800,1
5.745011700,0
5.745036800,1
5.745065000,0
5.745082500,1
5.745099800,0
5.745116500,1
5.745133800,0
5.745141700,1
5.745161700,0
5.745170800,1
5.745230900,0
5.745238800,1
5.745259000,0
5.745268000,1
5.745285200,0
5.745293600,1
5.745356200,0
5.745373600,1
5.745382300,0
5.745424200,1
5.745452500,0
5.745469900,1
5.745478700,0
5.745486900,1
5.745495600,0
5.745503900,1
5.745521200,0
5.745529100,1
5.745549200,0
5.745558200,1
5.745566900,0
5.745575200,1
5.745592500,0
5.745609200,1
5.745646000,0
5.745671900,1
5.745697700,0
5.745706000,1
5.745714800,0
5.745722600,1
5.745742700,0
5.745751800,1
5.745760400,0
5.745777200,1
5.745794500,0
5.745819100,1
5.745839300,0
5.745848300,1
5.745857000,0
5.745890500,1
5.745899200,0
