Time [s],Value,Parity Error,Framing Error
0.276663750000000,0xFF,,
0.277819750000000,0xFF,,
0.278975500000000,0x01,,
0.280131500000000,0x04,,
0.281287500000000,0x8A,,
0.282443250000000,0x00,,
0.283601000000000,0x04,,
0.284759500000000,0x6C,,
0.286054000000000,0xFF,,
0.287197000000000,0xFF,,
0.288338500000000,0x01,,
0.289480000000000,0x06,,
0.290621500000000,0x00,,
0.291763750000000,0x03,,
0.292905250000000,0x21,,
0.294047250000000,0x01,,
0.295189250000000,0x08,,
0.296330750000000,0xCB,,
0.302348250000000,0x00,,Error
0.581654250000000,0xFF,,
0.582809250000000,0xFF,,
0.583964750000000,0x01,,
0.585120250000000,0x04,,
0.586277000000000,0x8A,,
0.587433250000000,0x00,,
0.588592000000000,0x04,,
0.589751500000000,0x6C,,
0.591042250000000,0xFF,,
0.592185000000000,0xFF,,
0.593327250000000,0x01,,
0.594468500000000,0x06,,
0.595610750000000,0x00,,
0.596752750000000,0x03,,
0.597895000000000,0x21,,
0.599037000000000,0x01,,
0.600179000000000,0x08,,
0.601320500000000,0xCB,,
0.607339500000000,0x00,,Error
0.897654250000000,0xFF,,
0.898810500000000,0xFF,,
0.899966000000000,0x01,,
0.901122000000000,0x04,,
0.902278750000000,0x8A,,
0.903435000000000,0x00,,
0.904593500000000,0x04,,
0.905752250000000,0x6C,,
0.907042750000000,0xFF,,
0.908185500000000,0xFF,,
0.909327500000000,0x01,,
0.910468750000000,0x06,,
0.911610750000000,0x00,,
0.912752750000000,0x03,,
0.913895000000000,0x21,,
0.915036750000000,0x01,,
0.916178750000000,0x08,,
0.917320250000000,0xCB,,
0.923338500000000,0x00,,Error
1.206655500000000,0xFF,,
1.207811500000000,0xFF,,
1.208966250000000,0x01,,
1.210122250000000,0x04,,
1.211278250000000,0x8A,,
1.212434000000000,0x00,,
1.213591750000000,0x04,,
1.214750000000000,0x6C,,
1.216044250000000,0xFF,,
1.217187250000000,0xFF,,
1.218328500000000,0x01,,
1.219470000000000,0x06,,
1.220611500000000,0x00,,
1.221753500000000,0x03,,
1.222895250000000,0x21,,
1.224037000000000,0x01,,
1.225179250000000,0x08,,
1.226320750000000,0xCB,,
1.232338500000000,0x00,,Error
1.522648750000000,0xFF,,
1.523804500000000,0xFF,,
1.524959750000000,0x01,,
1.526117000000000,0x04,,
1.527273000000000,0x8A,,
1.528428750000000,0x00,,
