Time [s],Channel 0,Channel 1
-11.838336700,0,0
-11.545523900,1,0
-11.540522000,0,0
-11.540417700,1,0
-11.539365700,0,0
-11.539261400,1,0
-11.538210100,0,0
-11.538106200,1,0
-11.538001000,0,0
-11.537266900,1,0
-11.537054100,0,0
-11.536739900,1,0
-11.536635100,0,0
-11.536110800,1,0
-11.535898000,0,0
-11.535688700,1,0
-11.535583900,0,0
-11.535479100,1,0
-11.535374400,0,0
-11.535059500,1,0
-11.534741600,0,0
-11.533797400,1,0
-11.533582700,0,0
-11.533268300,1,0
-11.533163500,0,0
-11.532638900,1,0
-11.532423900,0,0
-11.532110000,1,0
-11.531900100,0,0
-11.531795200,1,0
-11.531585300,0,0
-11.531480900,1,0
-11.531128700,0,0
-11.531021000,1,0
-11.529982400,0,0
-11.529876000,1,0
-11.528837400,0,0
-11.528731100,1,0
-11.528629000,0,0
-11.527899300,1,0
-11.527692500,0,0
-11.527481900,1,0
-11.527276100,0,0
-11.526754300,1,0
-11.526547500,0,0
-11.525609400,1,0
-11.525402000,0,0
-11.525295800,1,0
-11.525089700,0,0
-11.524463900,1,0
-11.524256800,0,0
-11.524150400,1,0
-11.524048300,0,0
-11.523630300,1,0
-11.523528500,0,0
-11.523318500,1,0
-11.523111400,0,0
-11.523005000,1,0
-11.522902900,0,0
-11.522173100,1,0
-11.521966000,0,0
-11.521547300,1,0
-11.521445500,0,0
-11.521027600,1,0
-11.520821100,0,0
-11.520714200,1,0
-11.520508000,0,0
-11.520401900,1,0
-11.520300100,0,0
-11.520090000,1,0
-11.514802700,0,0
-11.238528600,1,0
-11.233527200,0,0
-11.233422900,1,0
-11.232370700,0,0
-11.232266400,1,0
-11.231214900,0,0
-11.231111100,1,0
-11.231005900,0,0
-11.230272100,1,0
-11.230059500,0,0
-11.229745200,1,0
-11.229640500,0,0
-11.229116100,1,0
-11.228903400,0,0
-11.228694100,1,0
-11.228589300,0,0
-11.228484400,1,0
-11.228379700,0,0
-11.228064900,1,0
-11.227746900,0,0
-11.226802800,1,0
-11.226588100,0,0
-11.226273700,1,0
-11.226168900,0,0
-11.225644500,1,0
-11.225429600,0,0
-11.225115800,1,0
-11.224905800,0,0
-11.224800900,1,0
-11.224590900,0,0
-11.224486400,1,0
-11.224134200,0,0
-11.224026600,1,0
-11.222987900,0,0
-11.222881100,1,0
-11.221842400,0,0
-11.221736200,1,0
-11.221633900,0,0
-11.220904200,1,0
-11.220697600,0,0
-11.220486400,1,0
-11.220280700,0,0
-11.219758900,1,0
-11.219552100,0,0
-11.218613900,1,0
-11.218406600,0,0
-11.218299900,1,0
-11.218093800,0,0
-11.217468100,1,0
-11.217261000,0,0
-11.217154600,1,0
-11.217052400,0,0
-11.216634500,1,0
-11.216532700,0,0
-11.216322700,1,0
-11.216115600,0,0
-11.216009200,1,0
-11.215906900,0,0
-11.215177200,1,0
-11.214970200,0,0
-11.214551500,1,0
-11.214449700,0,0
-11.214031800,1,0
-11.213825200,0,0
-11.213718800,1,0
-11.213512700,0,0
-11.213406600,1,0
-11.213304800,0,0
-11.213094700,1,0
-11.207806900,0,0
-10.913525400,1,0
-10.908524000,0,0
-10.908419700,1,0
-10.907368800,0,0
-10.907264500,1,0
-10.906213200,0,0
-10.906109400,1,0
-10.906004100,0,0
-10.905269900,1,0
-10.905057100,0,0
-10.904742900,1,0
-10.904638100,0,0
-10.904113900,1,0
-10.903900500,0,0
-10.903691100,1,0
-10.903585800,0,0
-10.903480800,1,0
-10.903376000,0,0
-10.903061000,1,0
-10.902744300,0,0
-10.901800600,1,0
-10.901585500,0,0
-10.901270800,1,0
-10.901166000,0,0
-10.900641500,1,0
-10.900426000,0,0
-10.900111500,1,0
-10.899901600,0,0
-10.899796700,1,0
-10.899586700,0,0
-10.899482400,1,0
-10.899131900,0,0
-10.899024100,1,0
-10.897985500,0,0
-10.897879200,1,0
-10.896840600,0,0
-10.896733700,1,0
-10.896631600,0,0
-10.895901800,1,0
-10.895695100,0,0
-10.895484400,1,0
-10.895278700,0,0
-10.894756800,1,0
-10.894550200,0,0
-10.893611500,1,0
-10.893404000,0,0
-10.893298000,1,0
-10.893091700,0,0
-10.892465900,1,0
-10.892259000,0,0
